texto,classificacao
"Compro bicicletas usadas, pagamento imediato.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Ofereço serviços de pedreiro em troca de alimentos.,0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Estou doando um sofá usado, quem quiser pode buscar.",0
Pago à vista por qualquer celular em boas condições.,1
Ofereço serviços de jardinagem em troca de roupas usadas.,0
"Estou comprando móveis usados, pagamento imediato.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Troco meu serviço de pintura por materiais escolares.,0
Pago em dinheiro por roupas infantis seminovas.,1
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
"Vendo serviços de informática, aceito PIX ou transferência.",1
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Compro bicicletas usadas, pagamento imediato.",1
Pago em dinheiro por roupas infantis seminovas.,1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
Pago em dinheiro por roupas infantis seminovas.,1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Pago à vista por qualquer celular em boas condições.,1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Pago à vista por qualquer celular em boas condições.,1
"Estou vendendo um celular novo, pagamento à vista.",1
"Estou vendendo um celular novo, pagamento à vista.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Preciso doar um fogão em bom estado, alguém precisa?",0
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Vendo serviços de informática, aceito PIX ou transferência.",1
Pago à vista por qualquer celular em boas condições.,1
"Compro qualquer eletrônico usado, pagamento na hora.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Vendo serviços de informática, aceito PIX ou transferência.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Troco meu serviço de pintura por materiais escolares.,0
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
Troco meu serviço de pintura por materiais escolares.,0
"Compro bicicletas usadas, pagamento imediato.",1
Troco meu serviço de pintura por materiais escolares.,0
"Compro bicicletas usadas, pagamento imediato.",1
Ofereço serviços de jardinagem em troca de roupas usadas.,0
Pago à vista por qualquer celular em boas condições.,1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Compro qualquer eletrônico usado, pagamento na hora.",1
Troco meu serviço de pintura por materiais escolares.,0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Troco meu serviço de pintura por materiais escolares.,0
"Compro bicicletas usadas, pagamento imediato.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Vendo serviços de informática, aceito PIX ou transferência.",1
"Estou vendendo um celular novo, pagamento à vista.",1
Troco meu serviço de pintura por materiais escolares.,0
"Vendo serviços de informática, aceito PIX ou transferência.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou vendendo um celular novo, pagamento à vista.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Compro bicicletas usadas, pagamento imediato.",1
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Ofereço serviços de pedreiro em troca de alimentos.,0
Troco meu serviço de pintura por materiais escolares.,0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Estou comprando móveis usados, pagamento imediato.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Ofereço serviços de jardinagem em troca de roupas usadas.,0
Ofereço serviços de pedreiro em troca de alimentos.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
Aceito qualquer forma de pagamento para este relógio usado.,1
"Estou vendendo um celular novo, pagamento à vista.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Compro bicicletas usadas, pagamento imediato.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Estou comprando móveis usados, pagamento imediato.",1
Ofereço serviços de pedreiro em troca de alimentos.,0
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Estou doando um sofá usado, quem quiser pode buscar.",0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
Ofereço serviços de pedreiro em troca de alimentos.,0
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Pago à vista por qualquer celular em boas condições.,1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
"Vendo serviços de informática, aceito PIX ou transferência.",1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Pago à vista por qualquer celular em boas condições.,1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Estou vendendo um celular novo, pagamento à vista.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Aceito qualquer forma de pagamento para este relógio usado.,1
Ofereço serviços de jardinagem em troca de roupas usadas.,0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Troco meu serviço de pintura por materiais escolares.,0
"Estou comprando móveis usados, pagamento imediato.",1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Pago em dinheiro por roupas infantis seminovas.,1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
Troco meu serviço de pintura por materiais escolares.,0
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
Pago à vista por qualquer celular em boas condições.,1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Aceito qualquer forma de pagamento para este relógio usado.,1
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Compro bicicletas usadas, pagamento imediato.",1
"Vendo serviços de informática, aceito PIX ou transferência.",1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Vendo serviços de informática, aceito PIX ou transferência.",1
"Estou comprando móveis usados, pagamento imediato.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Estou doando um sofá usado, quem quiser pode buscar.",0
Aceito qualquer forma de pagamento para este relógio usado.,1
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Estou comprando móveis usados, pagamento imediato.",1
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
Troco meu serviço de pintura por materiais escolares.,0
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Estou vendendo um celular novo, pagamento à vista.",1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Troco meu serviço de pintura por materiais escolares.,0
Pago à vista por qualquer celular em boas condições.,1
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Compro bicicletas usadas, pagamento imediato.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Estou comprando móveis usados, pagamento imediato.",1
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Estou doando um sofá usado, quem quiser pode buscar.",0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Compro qualquer eletrônico usado, pagamento na hora.",1
Aceito qualquer forma de pagamento para este relógio usado.,1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Ofereço serviços de pedreiro em troca de alimentos.,0
Pago à vista por qualquer celular em boas condições.,1
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Compro bicicletas usadas, pagamento imediato.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Estou doando um sofá usado, quem quiser pode buscar.",0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Compro qualquer eletrônico usado, pagamento na hora.",1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
Troco meu serviço de pintura por materiais escolares.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Ofereço serviços de pedreiro em troca de alimentos.,0
"Compro bicicletas usadas, pagamento imediato.",1
Troco meu serviço de pintura por materiais escolares.,0
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
Pago à vista por qualquer celular em boas condições.,1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Vendo serviços de informática, aceito PIX ou transferência.",1
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Aceito qualquer forma de pagamento para este relógio usado.,1
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
Ofereço serviços de jardinagem em troca de roupas usadas.,0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
"Compro bicicletas usadas, pagamento imediato.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Troco meu serviço de pintura por materiais escolares.,0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Estou doando um sofá usado, quem quiser pode buscar.",0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Preciso doar um fogão em bom estado, alguém precisa?",0
Ofereço serviços de pedreiro em troca de alimentos.,0
Pago à vista por qualquer celular em boas condições.,1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Preciso doar um fogão em bom estado, alguém precisa?",0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Preciso doar um fogão em bom estado, alguém precisa?",0
Aceito qualquer forma de pagamento para este relógio usado.,1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Estou vendendo um celular novo, pagamento à vista.",1
"Estou comprando móveis usados, pagamento imediato.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Aceito qualquer forma de pagamento para este relógio usado.,1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Estou vendendo um celular novo, pagamento à vista.",1
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
Pago à vista por qualquer celular em boas condições.,1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Tenho roupas infantis para doação, quem precisar pode vir buscar.",0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
"Estou vendendo um celular novo, pagamento à vista.",1
Ofereço serviços de pedreiro em troca de alimentos.,0
"Vendo notebook seminovo, aceito parcelamento no cartão.",1
"Estou vendendo uma bicicleta usada, aceito pagamento por PIX ou cartão.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Ofereço serviços de pedreiro em troca de alimentos.,0
Pago à vista por qualquer celular em boas condições.,1
"Estou comprando móveis usados, pagamento imediato.",1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Alguém está interessado em doar uma TV? Preciso para um projeto social.,0
"Estou doando um sofá usado, quem quiser pode buscar.",0
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Vendo televisão, pagamento pode ser via transferência bancária.",1
"Vendo televisão, pagamento pode ser via transferência bancária.",1
Ofereço serviços de jardinagem em troca de roupas usadas.,0
Troco meu serviço de pintura por materiais escolares.,0
Estou oferecendo consultas médicas gratuitas para a comunidade.,0
"Estou doando um sofá usado, quem quiser pode buscar.",0
Troco meu serviço de pintura por materiais escolares.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Ofereço serviços de pedreiro em troca de alimentos.,0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
"Compro qualquer eletrônico usado, pagamento na hora.",1
"Estou vendendo um celular novo, pagamento à vista.",1
"Estou comprando móveis usados, pagamento imediato.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
Ofereço aulas gratuitas de inglês para quem estiver interessado.,0
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Alguém tem uma bicicleta para doar? Preciso muito de uma.,0
Pago à vista por qualquer celular em boas condições.,1
"Vendo um carro em bom estado, aceito pagamento à vista ou parcelado.",1
"Estou comprando móveis usados, pagamento imediato.",1
"Preciso doar um fogão em bom estado, alguém precisa?",0
"Compro bicicletas usadas, pagamento imediato.",1
Troco meu serviço de pintura por materiais escolares.,0
"Estou doando uma cama de solteiro, quem precisar pode buscar.",0
Pago à vista por qualquer celular em boas condições.,1
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Estou vendendo um celular novo, pagamento à vista.",1
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
"Vendo sapatos em ótimo estado, aceita PIX ou transferência bancária.",1
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Tenho livros para doar, apenas quem estiver interessado em leitura.",0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Estou vendendo uma geladeira, aceito dinheiro ou transferência.",1
"Compro bicicletas usadas, pagamento imediato.",1
Pago à vista por qualquer celular em boas condições.,1
"Troco brinquedos por roupas infantis, quem estiver interessado me avise.",0
"Compro bicicletas usadas, pagamento imediato.",1
Alguém poderia trocar alimentos por livros? Tenho vários disponíveis.,0
Ofereço serviços de encanador gratuitamente para quem precisar.,0
"Estou comprando livros em boas condições, pagarei em dinheiro.",1
Troco meu serviço de pintura por materiais escolares.,0
